index	name	date	distance_km	climb_m
742	Fan Fawr	2-10-2010	3.2	305.0
444	Longmynd Hike	2-10-2010	80.5	2987.0
474	Puma Coniston Trail	2-10-2010	15.0	495.0
257	Ravenstones	2-10-2010	16.1	381.0
261	Arenig Fawr	3-10-2010	10.8	579.0
462	Hope Moors & Tors	3-10-2010	32.2	1128.0
752	Sandstone Trail Race A	3-10-2010	27.5	655.0
753	Sandstone Trail Race B	3-10-2010	17.1	290.0
447	Glen Ruy Fell	9-10-2010	4.4	149.0
641	Langdale Horseshoe	9-10-2010	22.5	1219.0
208	Manor Water	9-10-2010	16.1	671.0
704	Beefys Nab	10-10-2010	4.8	198.0
745	Breidden Hills	10-10-2010	11.3	701.0
286	Dryderdale Dash - Cancelled	10-10-2010	8.8	335.0
642	Mendip Muddle	10-10-2010	20.3	427.0
643	Windgather	10-10-2010	21.7	762.0
352	Saltergate Gallows	17-10-2010	12.9	366.0
482	Running Bear Race You To The Summit	23-10-2010	6.4	244.0
470	Screes	23-10-2010	8.5	488.0
644	Passing Clouds	24-10-2010	15.7	564.0
490	Withins Skyline	24-10-2010	11.3	305.0
674	Great Whernside	30-10-2010	6.4	474.0
705	Bronte Way	31-10-2010	12.9	351.0
407	Shepherds Skyline	6-11-2010	9.7	351.0
744	Clwydian Hills	7-11-2010	16.1	914.0
258	Cop Hill	7-11-2010	11.3	274.0
353	Three Tops	7-11-2010	12.9	610.0
405	Dunnerdale	13-11-2010	8.0	549.0
448	Peel Hill	13-11-2010	4.8	122.0
722	Rhobell Fawr	13-11-2010	9.7	579.0
645	Tour Of Pendle	13-11-2010	27.0	1472.0
646	Leg It Round Lathkil	14-11-2010	11.4	290.0
648	Roaches	14-11-2010	24.1	1128.0
288	Track N Terrain Blackden Fell - Cancelled	14-11-2010	16.1	411.0
476	Harriers V Cyclists	20-11-2010	9.7	198.0
220	Penmaenmawr	20-11-2010	16.1	594.0
354	Clay Bank West	21-11-2010	8.8	274.0
860	Drogo 10	21-11-2010	16.1	536.0
823	Druim Fada Chase	21-11-2010	10.0	372.0
868	Eaves Wood	21-11-2010	8.4	183.0
649	Rivock Edge	21-11-2010	10.1	255.0
650	Wrekin Wrecker	21-11-2010	13.0	732.0
662	Kirkbymoor	27-11-2010	10.5	488.0
194	David Staff Memorial Race	28-11-2010	8.2	366.0
1290	Famous Grouse	28-11-2010	8.0	366.0
827	Bolton By Bowland	5-12-2010	12.9	244.0
664	Cardington Cracker	5-12-2010	14.5	792.0
196	Gravy Pud 5	5-12-2010	8.0	305.0
862	Tankys Trog - Cancelled	5-12-2010	34.6	1143.0
449	Slieu Whallian Plantation	11-12-2010	4.8	183.0
666	Mortimer Forest	12-12-2010	16.1	488.0
492	Stoop	19-12-2010	8.0	244.0
287	Ayhope Skyline - Cancelled	26-12-2010	16.1	335.0
824	Cruim Leacainn	26-12-2010	10.0	274.0
698	Turkey Trot	26-12-2010	8.8	457.0
667	Whinberry Naze	26-12-2010	6.4	229.0
356	Guisborough Woods	27-12-2010	9.7	305.0
494	Daleside Brewery Auld Lang Syne	31-12-2010	9.7	274.0
1096	Captain Cooks Races	1-1-2011	8.8	229.0
1416	Giants Tooth	1-1-2011	4.8	122.0
1117	Hillforts And Headaches	1-1-2011	4.8	311.0
1221	Morning After	1-1-2011	8.0	274.0
954	Nine Standards	1-1-2011	12.9	549.0
1326	St Johns Fell	1-1-2011	4.8	274.0
916	Kymin Winter Race	8-1-2011	6.3	351.0
1095	Clay Bank East	9-1-2011	9.7	335.0
312	Hexhamshire Hobble - Rearranged Date	9-1-2011	16.9	381.0
1388	Shining Cliff Woods 1	9-1-2011	8.5	267.0
878	Trig Point	9-1-2011	24.1	457.0
1279	Ashurst Beacon	15-1-2011	9.5	290.0
239	Simonside Cairns	16-1-2011	17.7	539.0
1192	White Holme Circular	16-1-2011	19.3	366.0
1139	Box Hill	22-1-2011	12.1	518.0
1265	Soreen Stanbury Splash	23-1-2011	11.3	366.0
1061	Blakes Heaven	29-1-2011	6.8	503.0
